rfid;runid;Library_ID;Sample_Project;sex;coatcolor;QC_reads;QC_sex;QC_missing;QC_heterozygosity;QC_coat_color_albino;num_reject
1DCD1749;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;F;BROWNHOOD;reject;pass;reject;pass;pass;2
1DCD1755;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;F;BROWN;reject;pass;pass;pass;pass;1
1DCD1761;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;M;BLACKHOOD;reject;pass;reject;pass;pass;2
1DCD1762;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;M;ALBINO;pass;pass;pass;pass;reject;1
1DCD1769;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;M;BROWN;reject;pass;pass;pass;pass;1
1DCD176C;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;M;BROWNHOOD;reject;pass;pass;pass;pass;1
1DCD1779;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;M;BLACK;reject;pass;reject;pass;pass;2
1DCD178E;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;F;BLACKHOOD;reject;pass;pass;pass;pass;1
1DCD1790;201002_A00953_0161_AHLGVKDSXY;Riptide15;p50_jerry_richards_2020;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000120117308;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;M;BROWN;pass;pass;reject;pass;pass;1
933000120117336;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;M;BLACK;pass;pass;reject;pass;pass;1
933000120117338;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000120117343;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;F;BLACKHOOD;reject;pass;reject;pass;pass;2
933000120124705;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;M;BLACK;reject;pass;reject;pass;pass;2
933000120138289;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;M;BLACK;reject;pass;reject;suspect;pass;3
933000120138296;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;F;BROWNHOOD;pass;pass;reject;pass;pass;1
933000120138373;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;F;BROWNHOOD;pass;pass;pass;suspect;pass;1
933000120138384;200221_A00953_0069_BH5T5LDSXY;Riptide02;u01_olivier_george_cocaine;M;BROWNHOOD;reject;pass;reject;pass;pass;2
933000120138409;200221_A00953_0069_BH5T5LDSXY;Riptide02;u01_olivier_george_cocaine;M;ALBINO;pass;pass;pass;pass;reject;1
933000120138440;200221_A00953_0069_BH5T5LDSXY;Riptide03;u01_olivier_george_cocaine;F;ALBINO;reject;pass;reject;pass;pass;2
933000120138446;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWNHOOD;reject;pass;reject;pass;pass;2
933000120138516;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;ALBINO;reject;pass;reject;pass;pass;2
933000120138529;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BROWN;reject;pass;pass;pass;pass;1
933000120138532;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000120138539;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;M;BLACKHOOD;reject;pass;pass;pass;pass;1
933000120138543;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;F;BLACKHOOD;reject;pass;reject;pass;pass;2
933000120138546;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;M;BROWNHOOD;reject;pass;pass;pass;pass;1
933000120138550;200326_A00953_0086_BHC2FMDSXY;Riptide06;u01_tom_jhou;M;BLACKHOOD;reject;pass;reject;pass;pass;2
933000120138554;200915_A00953_0152_AHJGF7DSXY;Riptide13;u01_tom_jhou;F;BROWNHOOD;reject;pass;pass;pass;pass;1
933000120138559;200221_A00953_0069_BH5T5LDSXY;Riptide01;u01_olivier_george_cocaine;F;ALBINO;reject;pass;reject;pass;pass;2
933000120138603;200221_A00953_0069_BH5T5LDSXY;Riptide02;u01_olivier_george_cocaine;M;BROWN;pass;pass;reject;suspect;pass;2
